,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000,decade
59397,tt1560131,A Bit of Tom Jones?,A Bit of Tom Jones?,2009,11/6/2009,Comedy,89,UK,English,Peter Watkins-Hughes,Peter Watkins-Hughes,Tred films,"Charles Dale, Jonny Owen, Denise Welch, John Henshaw, Colin Price, Eve Myles, Roger Evans, Garin Jenkins, Stuart Lane, Jim Meyrick, Jonny Sleaze, Phylip Harries, Philip Howe, John North, Margaret John","In a late night bar, Henry is approached by a mysterious woman who offers to sell him the severed """"manhood"""" of Wales' greatest vocal entertainer... Believing he can make a fortune selling ...",4.6,137,NA,NA,NA,NA,1,2,4.6,65.64821,460,2000 - 2010
72735,tt3813916,A Blast,A Blast,2014,8/27/2015,"Drama, Thriller",83,"Greece, Germany, Netherlands, Italy, Bosnia and Herzegovina, France","Greek, English, German",Syllas Tzoumerkas,"Syllas Tzoumerkas, Youla Boudali",Homemade Films,"Angeliki Papoulia, Basile Doganis, Maria Filini, Themis Bazaka, Giorgos Biniaris, Makis Papadimitriou, Eleni Karagiorgi, Christoph Berlet, Haris Attonis, Nikolas Piperas, Manoussos Gakilazos, Alkis Zoupas, Marso Fili, Konstadinos Voudouris, Vassia Bakakou","Against the backdrop of an ongoing socio-economic collapse, a disillusioned mother of three is trapped in a vicious circle of terrible decisions and sharply ruthless actions. What can drive a perfectly normal individual to great extremes?",5.7,769,NA,NA,$270 ,NA,5,68,5.7,75.19795,570,2010 - 2020
81502,tt6921496,A Bluebird in My Heart,A Bluebird in My Heart,2018,4/8/2020,"Drama, Thriller",85,"Belgium, France","English, French",JÈrÈmie Guez,"JÈrÈmie Guez, Dannie M. Martin",Atchafalaya Films,"Roland M¯ller, Lola Le Lann, Veerle Baetens, Lubna Azabal, Jonathan Robert, Steven Struyven, Bashkim Topojani, Olivier Bisback","Attempting to lead a quiet reformed life, an ex-con finds refuge in a motel run by a single mother and her daughter Clara. The peace and freedom he has found in this safe haven disappears ...",6.2,964,NA,NA,NA,NA,13,17,6.2,87.3755,620,2010 - 2020
7495,tt0045566,Assassinio premeditato,A Blueprint for Murder,1953,9/1/1953,"Crime, Drama, Film-Noir",77,USA,English,Andrew L. Stone,Andrew L. Stone,Andrew L. Stone Productions,"Joseph Cotten, Jean Peters, Gary Merrill, Catherine McLeod, Jack Kruschen, Barney Phillips, Freddy Ridgeway","Whitney Cameron suspects his sister-in-law has poisoned his brother and niece, but without proof how does he prevent the murder of his nephew?",6.8,1316,NA,NA,NA,NA,35,16,6.8,96.24858479,680,1950 - 1960
45027,tt0396955,¿ boire,¿ boire,2004,1/5/2005,Comedy,90,France,French,Marion Vernoux,"Thomas Bidegain, FrÈdÈric Jardin",ADR Productions,"Emmanuelle BÈart, Edouard Baer, Atmen Kelif, Yves Verhoeven, Jean-Michel Tinivelli, Pierre-Louis Lanier, Claude Perron, Jackie Berroyer, Marina FoÔs, Bruce Vernin, Karine Richer, Isabelle Lagarde, Alexandra Carlioz, Audrey Chareras, Jacques LÈvy","Three disparate people meet in a bizarre skiing accident: a doctor who had just been left by his wife, a beautiful but direction less woman, and the bumbling Algerian man who caused the ...",4.5,218,EUR 4400000,NA,"$310,452 ",NA,2,3,4.5,63.39635,450,2000 - 2010
33074,tt0147906,Incontro fatale,A Bold Affair,1998,12/17/2009,Thriller,93,USA,English,Rick Jacobson,Al Sophianopoulos,Royal Oaks Entertainment Inc.,"Jeff Trachta, Schae Harrison, Sandra Dee Robinson, Howard Mungo, Peter J. Fogel, Kristine Mejia, Maitland Ward, Bruce Kirby, Dana Lee, George Alvarez, John Rubinow, Caroline Cornell, Mark Conley, Randall James Jeffries, John Blenkhorn","A man's life gets wrecked by a woman with whom he had a casual """"affair"""" over the Internet.",4.4,213,NA,NA,NA,NA,5,2,4.4,59.71299,440,1990 - 2000
41423,tt0308058,A Bomba,A Bomba,2002,1/4/2002,"Action, Comedy",90,Portugal,Portuguese,Leonel Vieira,"Lu‡≠s Diogo, Alberto Fernandes",NA,"Diogo Infante, AntÛnio Melo, Fernanda Serrano, Maria d'Aires, Henrique Viana, Ana Bustorff, Cristina Carvalhal, Filipe Ferrer, Lu‡≠s Pav„o, Adriano Luz, Miguel Melo, Joaquim Nicolau, Duda Guennes, Camacho Costa, Ilda Roquete","A group of innocent hostages is left to his own death facing a clockwork bomb, while the whole country watches them on the TV.",6.5,257,NA,NA,NA,NA,3,NA,6.5,90.95332,650,2000 - 2010
51710,tt0946984,A Bothered Conscience,A Bothered Conscience,2006,10/22/2006,Horror,87,USA,English,Dennis Smithers Jr.,Dennis Smithers Jr.,Smithers Productions,"Dennis Smithers Sr., Stephen Martin, MacFarland Martin, Thomas King, Tim Turner, Brad McPherson, Tina O'Neal, Stephanie Smithers, Tina Martin, Dannial McCoy, Nick Pugh, Joshua Stephens, Sean Martin, Gary Franks, Sam Neeley","In the backwoods of Arkansas, a father and son protect their land against trespassers.",4.2,158,"$2,300 ",NA,NA,NA,11,7,4.2,64.90838,420,2000 - 2010
10195,tt0053472,Fino all'ultimo respiro,¿ bout de souffle,1960,9/30/1960,"Crime, Drama",90,France,"French, English",Jean-Luc Godard,FranÁois Truffaut,Les Films ImpÈria,"Jean Seberg, Jean-Paul Belmondo, Daniel Boulanger, Henri-Jacques Huet, Roger Hanin, Van Doude, Claude Mansard, Liliane Dreyfus, Michel Fabre, Jean-Pierre Melville, Jean-Luc Godard, Richard Balducci, AndrÈ S. Labarthe, FranÁois Moreuil, Jacques Lourcelles","A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy.",7.9,71060,FRF 400000,"$363,031 ","$378,503 ",NA,207,201,7.9,105.9476051,790,1960 - 1970
59285,tt1545759,Point Blank,¿ bout portant,2010,12/1/2010,"Action, Crime, Drama",81,France,French,Fred CavayÈ,"Fred CavayÈ, Guillaume Lemans",LGM Productions,"Gilles Lellouche, Roschdy Zem, GÈrard Lanvin, Elena Anaya, Mireille Perrier, Claire PÈrot, Moussa Maaskri, Pierre Benoist, ValÈrie Dashwood, Virgile Bramly, Nicky NaudÈ, Adel Bencherif, Vincent Colombe, Chems Dahmani, GrÈgoire Bonnet","Samuel, a male nurse, saves the life of a thief whose henchmen take Samuel's wife hostage and force him to spring their boss.",6.8,13310,"$16,000,000 ","$708,215 ","$9,487,445 ",75,52,127,6.8,94.04587,680,2010 - 2020
76447,tt5007774,A Box of Faith,A Box of Faith,2015,6/23/2015,Family,84,USA,English,Auturo Gavino,Auturo Gavino,Faith House Pictures,"Savanah D. McMahon, David Aaron Stone, Julie Van Lith, Lara van Lith, William G. Way, Bill Wetherill","After her mother dies and her dad is imprisoned for a crime he didn't commit, 16-year-old Dior is forced to live on the streets. Ms. Ward, a social worker, makes it her mission to track ...",5.8,177,"$100,000 ",NA,NA,NA,6,1,5.8,79.85273,580,2010 - 2020
16912,tt0072730,"Apocalypse 2024 - Un ragazzo, un cane, due inseparabili amici",A Boy and His Dog,1975,11/14/1975,"Comedy, Drama, Sci-Fi",91,USA,English,L.Q. Jones,"L.Q. Jones, Harlan Ellison",LQ/JAF,"Don Johnson, Susanne Benton, Jason Robards, Tim McIntire, Alvy Moore, Helene Winston, Charles McGraw, Hal Baylor, Ron Feinberg, Michael Rupert, Don Carter, Michael Hershman",A young man and his telepathic dog wander a post-apocalyptic wasteland.,6.5,16299,"$400,000 ",NA,NA,68,140,67,6.5,82.65719625,650,1970 - 1980
58059,tt1433514,A Boy Called Dad,A Boy Called Dad,2009,4/30/2010,Drama,80,UK,English,Brian Percival,Julie Rutterford,Made Up North Productions,"Kyle Ward, Ian Hart, Charlene McKenna, Sacha Parkinson, Louise Delamere, Steve Evets, Lee Turnbull, Kevin Harvey, Crissy Rock, Sam Webb, Sienna Jones, Mille Wortley, Faith Wortley, Joel Robinson, Alan Stocks","When he becomes a father at the tender age of 14, Robbie's life quickly spirals out of control. Feeling angry and neglected by his own dad, he kick-starts a series of events that will ...",6.5,597,GBP 1000000,NA,NA,NA,18,25,6.5,88.96688,650,2000 - 2010
28739,tt0112568,A Boy Called Hate,A Boy Called Hate,1995,5/22/1996,"Crime, Drama, Romance",97,"USA, Canada",English,Mitch Marcus,Mitch Marcus,Pacific Motion Pictures,"Scott Caan, Lee Nashold, Kevin Michael Richardson, James Caan, Missy Crider, Elliott Gould, Duane Davis, Wade Allain-Marcus, Cece Tsou, Dennis Cockrum, Seth Isler, Stephanie Allain, Scott Patterson, Mary Louise Gemmill, Bradley Jay Lesley","After a run-in with the law, an angry maladjusted young man starts calling himself """"Hate"""". One night he saves a girl from a lusty Assistant District Attorney. He falsely accuses them of robbery, so they go on the run and make things worse.",5.2,269,NA,NA,NA,NA,3,4,5.2,68.212,520,1990 - 2000
57725,tt1401621,A Boy Called Po,A Boy Called Po,2016,9/1/2017,"Drama, Fantasy",95,USA,English,John Asher,"Colin Goldman, Colin Goldman",Commonwealth Film Manufacturing,"Christopher Gorham, Julian Feder, Kaitlin Doubleday, Andrew Bowen, Sean Gunn, Caitlin Carmichael, Bryan Batt, Fay Masterson, Brian George, Tristan Chase, Jayden Anderson, Kassi Crews, Tammy Dahlstrom, Mason Hafer, Starla Hall","After his wife dies of cancer, an overworked engineer struggles to care for his son with autism. His son in response to bullying regresses into a fantasy world escape.",6.6,764,"$500,000 ","$4,550 ","$4,550 ",47,13,13,6.6,91.24186,660,2010 - 2020
65355,tt2201211,A Boy Called Sailboat,A Boy Called Sailboat,2018,5/6/2019,"Comedy, Drama, Family",92,"USA, Australia","English, Spanish",Cameron Nugent,Cameron Nugent,Yellow Brick Films,"J.K. Simmons, Keanu Wilson, Julian Atocani Sanchez, Noel Gugliemi, Elizabeth De Razzo, Jake Busey, Zeyah Pearson, Addison Pearson, Trevor Johnson, Waylon James Yurcic, Dara Werber-Raiter, Sebastian Castello, Tommy Pendleton, Lila Knadler, Alexander Hardesty","A Hispanic family find hope in their extraordinary son named Sailboat when a personal gesture awakens a global desire. Armed with a """"little guitar"""", Sailboat leads an offbeat cast into the miraculous story of the greatest secret never told.",6.7,965,NA,NA,NA,NA,30,11,6.7,93.0974,670,2010 - 2020
13885,tt0064107,Arriva Charlie Brown,A Boy Named Charlie Brown,1969,7/16/1970,"Animation, Comedy, Drama",86,USA,English,Bill Melendez,"Charles M. Schulz, Charles M. Schulz",Cinema Center Films,"Peter Robbins, Pamelyn Ferdin, Glenn Gilger, Andy Pforsich, Sally Dryer, Ann Altieri, Erin Sullivan, Lynda Mendelson, Christopher DeFaria, David Carey, Guy Pforsich, Bill Melendez",Charlie Brown makes his way to the national spelling bee finals.,7.3,4333,NA,"$13,080,000 ",NA,NA,47,15,7.3,103.9520553,730,1960 - 1970
6103,tt0041203,"A Boy, a Girl and a Bike","A Boy, a Girl and a Bike",1949,5/23/1949,"Comedy, Romance, Drama",92,UK,English,Ralph Smart,"Ralph Keene, John Sommerfield",Gainsborough Pictures,"John McCallum, Honor Blackman, Patrick Holt, Diana Dors, Leslie Dwyer, Megs Jenkins, Anthony Newley, Maggie Hanley, Maurice Denham, John Blythe, Hal Osmond, Thora Hird, Margot Bourke, Amy Veness, Cyril Chamberlain","When a local cycle club, invite a couple of new members to join them, little do the club realise, that they will soon be involved in a couple of illegal bookmakers putting the squeeze on ...",6.2,149,NA,NA,NA,NA,18,NA,6.2,92.84864647,620,1940 - 1950
81465,tt6905402,A Boy. A Girl. A Dream.,A Boy. A Girl. A Dream.,2018,9/14/2018,"Drama, Romance",89,USA,English,Qasim Basir,"Qasim Basir, Samantha Basir",Datari Turner Productions,"Omari Hardwick, Meagan Good, Jay Ellis, Dijon Talton, Kenya Barris, Maryam Basir, Rachel Benyola, David Bianchi, David Brown, Affion Crockett, Jason Dohring, Jennifer Elliott, Alexis Fallon, Evelyn Gonzalez, Wesley Jonathan","On the night of the 2016 Presidential election, Cass, an L.A. club promoter, takes a thrilling and emotional journey with Frida, a Midwestern visitor. She challenges him to revisit his broken dreams - while he pushes her to discover hers.",4.7,371,NA,"$112,552 ","$112,552 ",65,16,7,4.7,68.46681,470,2010 - 2020
78730,tt5804948,Benvenuti a casa mia,¿ bras ouverts,2017,3/8/2018,Comedy,92,"France, Belgium","French, English",Philippe de Chauveron,"Guy Laurent, Marc de Chauveron",CamÈra One,"Christian Clavier, Ary Abittan, Elsa Zylberstein, Cyril Lecomte, Nanou Garcia, Oscar Berthe, Mirela Nicolau, Sofiia Manousha, Ioana Visalon, Marian Samu, AnaÔs Dopinescu, Nikita Dragomir, Raisa Mihai, Inan Cicek, Armen Georgian",A French intellectual who writes about living with an open-mind struggles to live up to his words when a Romani family begins camping on his front yard.,5.4,2623,EUR 17214408,NA,"$9,548,364 ",NA,3,28,5.4,74.58236,540,2010 - 2020
81415,tt6884380,"A Bread Factory, Part One","A Bread Factory, Part One",2018,10/26/2018,"Comedy, Drama",122,USA,English,Patrick Wang,Patrick Wang,In the Family,"Tyne Daly, Elisabeth Henry, James Marsters, Shershah Mizan, Nana Visitor, Keaton Nigel Cooke, Glynnis O'Connor, Zachary Sayle, Janet Hsieh, George Young, Brian Murray, Nan-Lyn Nelson, Ciarra Fragale, Julia Arden Rock, Janeane Garofalo","After 40 years of running their community arts space, The Bread Factory, Dorothea and Greta are suddenly fighting for survival when a celebrity couple--performance artists from China--come ...",7,260,NA,"$8,663 ","$8,663 ",91,2,17,7,99.23957,700,2010 - 2020
81421,tt6887540,"A Bread Factory, Part Two","A Bread Factory, Part Two",2018,10/26/2018,"Comedy, Drama",120,USA,English,Patrick Wang,Patrick Wang,In the Family,"Tyne Daly, Wayne Fugate, Isabela Quines, Phil Helm, James Marsters, Mike Kobetitsch, Nana Visitor, Elisabeth Henry, Keaton Nigel Cooke, Jonathan Iglesias, Erica Durham, Brian Murray, Zachary Sayle, Janet Hsieh, George Young","At The Bread Factory, they rehearse the Greek play, Hecuba. But the real theatrics are outside the theater where the town has been invaded by bizarre tourists and mysterious tech start-up ...",6.9,197,NA,"$8,663 ","$8,663 ",91,1,16,6.9,96.03894,690,2010 - 2020
10249,tt0053675,Olympia,A Breath of Scandal,1960,3/16/1960,"Drama, Comedy, Romance",97,"Italy, USA, Austria",English,Michael Curtiz,"Walter Bernstein, Sidney Howard",Titanus,"Sophia Loren, Maurice Chevalier, John Gavin, Angela Lansbury, Isabel Jeans, Tullio Carminati, Milly Vitale, Carlo Hintermann, Roberto Risso, Friedrich von Ledebur, Adrienne Gessner, Luigi Cimara, Waveney Lee, Walter Varndal","Princess Olympia (Sophia Loren), despite her life status cannot resist the urge to satisfy her sexual appetites. Exiled to the countryside, Olympia falls in love with American millionaire Charlie Foster (John Gavin).",5.5,711,NA,NA,NA,NA,18,4,5.5,73.79440333,550,1960 - 1970
21324,tt0087001,Il nido dell'aquila,A Breed Apart,1984,6/18/1987,"Drama, Action",95,USA,English,Philippe Mora,Paul Wheeler,Hemdale,"Rutger Hauer, Powers Boothe, Kathleen Turner, Donald Pleasence, Brion James, John Dennis Johnston, Jayne Bentzen, Andy Fenwick, Dustin Lecate, C.K. Bibby, Frank Wallace, Jon Syme, William W. Brown, Laurens Moore, Willie J. Stratford Sr.",A conservationist and a widow meet a mountain climber hired to steal bald-eagle eggs.,5.5,1350,"$3,000,000 ",NA,NA,NA,9,15,5.5,81.23184,550,1980 - 1990
2626,tt0028662,Luna di miele a tre,A Bride for Henry,1937,9/29/1937,"Adventure, Comedy, Romance",58,USA,English,William Nigh,"Josephine Bentham, Marion Orth",Monogram Pictures,"Anne Nagel, Warren Hull, Henry Mollison, Claudia Dell, Betty Ross Clarke, Lyle Moraine, Harry Harvey, Harrison Greene","On the day of her wedding a young woman's fiancÈ doesn't show up, sleeping off the results of the previous night's wild bachelor party. Miffed, the woman decides to go ahead with the ...",5.8,207,NA,NA,NA,NA,9,2,5.8,78.5708661,580,1930 - 1940
17868,tt0075784,Quell'ultimo ponte,A Bridge Too Far,1977,6/15/1977,"Drama, History, War",175,USA,"English, German, Dutch, Polish, Latin",Richard Attenborough,"Cornelius Ryan, William Goldman",Joseph E. Levine Productions,"Siem Vroom, Marlies van Alcmaer, Erik van 't Wout, Wolfgang Preiss, Hans von Borsody, Josephine Peeper, Dirk Bogarde, Paul Maxwell, Sean Connery, Ryan O'Neal, Gene Hackman, Walter Kohut, Peter Faber, Hartmut Becker, Frank Grimes","Operation Market Garden, September 1944: The Allies attempt to capture several strategically important bridges in the Netherlands in the hope of breaking the German lines.",7.4,50793,"$27,000,000 ","$50,750,000 ","$50,750,000 ",NA,255,56,7.4,103.5503,740,1970 - 1980
27905,tt0109336,A Brilliant Disguise,A Brilliant Disguise,1994,8/10/1994,Thriller,95,USA,English,Nick Vallelonga,Nick Vallelonga,NA,"Lysette Anthony, Tony Denison, Corbin Bernsen, Gregory McKinney, Robert R. Shafer, Dawn Ann Billings, Jesse Corti, Devin DeVasquez, Christina Fulton, Beverly Johnson, Suzanne Lanza, Tony Lip, Cherie Michan, Elizabeth Nottoli, Kathy Shower","Michelle is one part sexual nymph, one part man-hating psycho, and one part 12-year-old child. When she catches the eye of Andy, it turns his life upside down and their relationship becomes...",4.3,114,NA,NA,NA,NA,1,1,4.3,60.6588,430,1990 - 2000
51638,tt0937391,Una vita spezzata,A Broken Life,2007,10/14/2008,Drama,97,Canada,English,Neil Coombs,"Neil Coombs, Grace Kosaka",Caged Angel Films,"Tom Sizemore, Corey Sevier, Grace Kosaka, Ving Rhames, Saul Rubinek, Arcadiy Golubovich, Cynthia Dale, Kris Holden-Ried, Danya Nearon, Faye Ly, Nathan Carter, Cosette Derome, Joanna Jang, Stacey LaBerge, Carinne Leduc","Tortured by his own mediocrity, Max decides to commit suicide and recruits his only friend Bud, a struggling filmmaker, to record his last day on earth. Bent on exacting revenge, Max tracks...",5.1,304,"$4,000,000 ",NA,NA,NA,2,1,5.1,72.14315,510,2000 - 2010
27155,tt0106489,Bronx,A Bronx Tale,1993,1/28/1994,"Crime, Drama, Romance",121,USA,"English, Italian",Robert De Niro,"Chazz Palminteri, Chazz Palminteri",Price Entertainment,"Robert De Niro, Chazz Palminteri, Lillo Brancato, Francis Capra, Taral Hicks, Kathrine Narducci, Clem Caserta, Alfred Sauchelli Jr., Frank Pietrangolare, Joe Pesci, Robert D'Andrea, Eddie Montanaro, Fred Fischer, Dave Salerno, Joseph D'Onofrio",A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,7.8,125087,"$22,000,000 ","$17,287,898 ","$17,287,898 ",80,223,53,7.8,112.3438,780,1990 - 2000
30448,tt0118782,A Brooklyn State of Mind,A Brooklyn State of Mind,1998,2/1/1998,"Action, Crime, Drama",89,"USA, Canada",English,Frank Rainone,"Frank Rainone, Frederick Stroppel",Norstar Entertainment,"Vincent Spano, Maria Grazia Cucinotta, Danny Aiello, Abe Vigoda, Rick Aiello, Tony Danza, Jennifer Esposito, Morgana King, Janice Steinmetz, Vincent Pastore, Nelson Vasquez, Frank Aquilino, John 'Cha Cha' Ciarcia, Jeanna Garcia, Jon-Albert Rovello","Al Stanco has lived all of his life in Brooklyn and does some work for the local crime lord, Danny Parente. New to the neighbourhood is Gabriela, a filmmaker shooting a documentary on the ...",5.6,357,"$4,000,000 ",NA,NA,NA,4,2,5.6,82.18805,560,1990 - 2000
53195,tt10559412,A Brother's Honor,A Brother's Honor,2019,9/18/2019,Romance,86,USA,English,Lane Shefter Bishop,"Kelly Goodner, Brenda Jackson",Passionflix,"Jeremy Batiste, Celestine Rae, Michael Marcel, Robert Christopher Riley, Raushanah Simmons, Jasmine B. Johnson, Ricco Ross, Jon Prescott, Afemo Omilami, Tom Wright, Liz Benoit, Amanda Tavarez, Gloria Hendry, Thomas Hobson, Kalilah Harris","3 brothers are reunited after their grandfather suffers a heart attack. The Granger men, Jace, Caden and Dalton promise their dying grandfather that they will work together to save the ...",5.6,196,"$700,000 ",NA,NA,NA,44,NA,5.6,80.91849,560,2010 - 2020
30449,tt0118783,A Brother's Kiss,A Brother's Kiss,1997,4/25/1997,Drama,92,USA,English,Seth Zvi Rosenfeld,"Seth Zvi Rosenfeld, Seth Zvi Rosenfeld",Rosefunk Pictures,"Nick Chinlund, Michael Raynor, Justin Pierce, Joshua Danowsky, Cathy Moriarty, Richard Palmer, Scott Cohen, Jason Andrews, Kevin Thigpen, Frank Minucci, Aesha Waks, Rafael Nunez, Erica Nicole Grier, Maurice Ballard, Andre B. Blake","Two brothers, Lex and younger Mick, are living in Harlem. Mick is a policeman, and Lex, who spent youth years in reformatory because of injustice after he confronted the cop who tried to ...",6,330,NA,"$52,632 ","$52,632 ",NA,5,5,6,83.16638,600,1990 - 2000
9872,tt0052655,Un secchio di sangue,A Bucket of Blood,1959,10/21/1959,"Comedy, Crime, Horror",66,USA,English,Roger Corman,Charles B. Griffith,Alta Vista Productions,"Dick Miller, Barboura Morris, Antony Carbone, Julian Burton, Ed Nelson, John Brinkley, John Herman Shaner, Judy Bamber, Myrtle Vail, Bert Convy, Jhean Burton, Bruno VeSota, Lynn Storey",A dim-witted busboy finds acclaim as an artist for a plaster-covered dead cat that is mistaken as a skillful statuette. The desire for more praise soon leads to an increasingly deadly series of works.,6.7,5716,"$50,000 ",NA,NA,NA,98,85,6.7,90.16657295,670,1950 - 1960
63984,tt2040257,A Buddy Story,A Buddy Story,2010,2010,Romance,84,USA,English,Marc Erlbaum,Marc Erlbaum,NA,"Gavin Bellour, Elisabeth Moss, Lee Garlington, Matisyahu, Annabelle Gurwitch, Tovah Feldshuh, Tim Guinee, Dick Latessa, Catherine A. Callahan, Geoffrey Wigdor, Toni Romano, Maureen Torsney-Weir, Michael Elian, Stink Fisher",A young woman in an abusive relationship finds her life change for the better when she tags along on her musician neighbor's tour of the northeast.,5.5,162,"$1,000,000 ",NA,NA,NA,3,NA,5.5,78.92514,550,2010 - 2020
31210,tt0120623,A Bug's Life - Megaminimondo,A Bug's Life,1998,2/12/1999,"Animation, Adventure, Comedy",95,USA,English,"John Lasseter, Andrew Stanton","John Lasseter, Andrew Stanton",Pixar Animation Studios,"Dave Foley, Kevin Spacey, Julia Louis-Dreyfus, Hayden Panettiere, Phyllis Diller, Richard Kind, David Hyde Pierce, Joe Ranft, Denis Leary, Jonathan Harris, Madeline Kahn, Bonnie Hunt, Michael McShane, John Ratzenberger, Brad Garrett","A misfit ant, looking for """"warriors"""" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",7.2,261431,"$120,000,000 ","$162,798,565 ","$363,258,859 ",77,373,124,7.2,99.4825,720,1990 - 2000
8249,tt0047904,Spionaggio atomico,A Bullet for Joey,1955,11/21/1955,"Crime, Drama, Film-Noir",85,USA,English,Lewis Allen,"James Benson Nablo, Daniel Mainwaring",Bischoff-Diamond Corporation,"Edward G. Robinson, George Raft, Audrey Totter, George Dolenz, Peter van Eyck, Toni Gerry, William Bryant, John Cliff, Steven Geray, Joseph Vitale, Sally Blane, Peter Hansen, Kaaren Verne, Henri Letondal, Stan Malotte",#NOM?,6,887,NA,NA,NA,NA,17,10,6,88.45584693,600,1950 - 1960
14377,tt0065501,Un proiettile per Pretty Boy,A Bullet for Pretty Boy,1970,7/15/1970,"Action, Biography, Crime",89,USA,English,"Larry Buchanan, Maury Dexter","Tony Huston, Larry Buchanan",American International Pictures (AIP),"Fabian, Jocelyn Lane, Astrid Warner, Adam Roarke, Michael Haynes, Robert Glenn, Annabelle Weenick, Camilla Carr, Jeff Alexander, Desmond Dhooge, Bill Thurman, Hugh Feagin, Jessie Lee Fulton, James N. Harrell, Gene Ross","The movie tells the biography of the gangster Charles """"Pretty Boy"""" Floyd who started his career young aged when he saw his father die and seeked out revenge by killing his murderer during a...",5.1,171,"$350,000 ",NA,NA,NA,7,5,5.1,68.60866605,510,1970 - 1980
31770,tt0125680,A Bullet in the Head,A Bullet in the Head,1990,1990,Drama,89,Canada,NA,Attila Bertalan,Attila Bertalan,Creon Productions,"Kathy Horner, Andrew Campbell, Jan Stychalsky, Victoria Sands, Claude Forget, Rebecca Posner, Susan Eyton-Jones, Laura G. Dumas, Gaelen Mines, GÈrald Gagnon, Eric Parenteau, Guy Palabost, Claude Chouinard, Marc Francouer, Edward Fuller","A civilian and a soldier become unlikely allies in this allegorical examination of friendship and the evils of war. Filmed in Quebec, Canada.",6.7,141,CAD 550000,NA,NA,NA,NA,NA,6.7,96.91675,670,1990 - 2000
7907,tt0046812,Proiettile in canna,A Bullet Is Waiting,1954,9/4/1954,"Crime, Drama, Film-Noir",90,USA,English,John Farrow,"Casey Robinson, Thames Williamson",Columbia Pictures,"Rory Calhoun, Jean Simmons, Stephen McNally, Brian Aherne","After crashing their small plane in the wilderness, a sheriff deputy and his prisoner take shelter at an isolated farm.",5.5,262,NA,NA,NA,NA,9,1,5.5,74.94211571,550,1950 - 1960
85253,tt9198724,A Bump Along the Way,A Bump Along the Way,2019,10/11/2019,"Comedy, Drama",95,UK,English,Shelly Love,Tess McGowan,Bump Films,"Bronagh Gallagher, Lola Petticrew, Mary Moulds, Dan Gordon, Zara Devlin, Andy Doherty, Gerard Jordan, Paddy C. Courtney, Meghan Reid, Dylan Reid, Gerard Bell, Aimee McGoldrick, Sophie Doran, Eoin Callaghan, Brendan Farrell","A boozy 44-year-old single mother becomes pregnant from a one-night-stand, much to the shame of her buttoned-up teen daughter.",6.1,240,NA,NA,"$230,703 ",NA,4,2,6.1,88.09831,610,2010 - 2020
54906,tt1171226,A Bunch of Amateurs,A Bunch of Amateurs,2008,12/19/2008,Comedy,96,UK,English,Andy Cadiff,"Jonathan Gershfield, John Ross",Isle of Man Film,"Burt Reynolds, Alexandra Weaver, Elesia Marie, Sarah Goldberg, Glynis Brooks, Camilla Arfwedson, Michael Wildman, Guy Flanagan, John Moraitis, Pat Starr, Maisie Scott, Charles Durning, Pandora Colin, Lucy Akhurst, Stephen Gressieux","A sleazy Hollywood agent tricks one of his clients, a faded action star, into playing King Lear in an amateur charity production in England.",6.1,996,NA,NA,"$1,096,787 ",NA,20,10,6.1,83.49687,610,2000 - 2010
64767,tt2125425,A Busca,A Busca,2012,3/15/2013,"Drama, Thriller",96,Brazil,Portuguese,Luciano Moura,"Luciano Moura, Elena Soarez",Globo Filmes,"Wagner Moura, Lima Duarte, Mariana Lima, Br·s Antunes, Lucas de Araujo, Gabriel Marin",A man who has put his career ahead of everything else in life learns the value of family when his son goes missing.,6.7,1258,NA,NA,"$1,839,839 ",NA,3,11,6.7,95.56297,670,2010 - 2020
27909,tt0109352,Il sogno di Kate,A Business Affair,1994,3/16/1994,"Comedy, Romance",102,"UK, France, Germany, Spain",English,Charlotte Br‰ndstrˆm,"Charlotte Br‰ndstrˆm, Lucy Flannery",Canal+,"Christopher Walken, Carole Bouquet, Jonathan Pryce, Sheila Hancock, Anna Manahan, Fernando GuillÈn Cuervo, Tom Wilkinson, Marisa Benlloch, Paul Bentall, Bhasker Patel, Roger Brierley, Allan Corduner, Marian McLoughlin, Miguel De ‡Ångel, Christopher Driscoll","This is the story of the lovely Kate Swallow and the loves of her life. At the start she is with Alec Bolton, a noted author, who discourages her when she wants to write a novel. Later she ...",5.5,400,NA,"$7,556 ","$7,556 ",NA,9,3,5.5,75.9552,550,1990 - 2000
