,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000,decade
52772,tt10329084,99,99,2019,5/1/2019,Drama,144,India,Kannada,Preetham Gubbi,Preetham Gubbi,Ramu Films,"Ganesh, Bhavana, Samiksha, Hemanth, Amrutha, P.D. Sathish Chandra, Goli Chandu, Kiran Kumar Hansi, Harsha, Inchara, Jaggi, Jhansi, Keshav, Kiran, Ramesh Rai Kukkuvalli","Ramachandra and Janaki meet up 20 years after graduating high school, class of 1999, at a reunion party.",6.2,343,INR 100000000,NA,NA,NA,13,1,6.2,88.4115,620,2010 - 2020
57428,tt1370429,99,99,2009,5/15/2009,"Comedy, Crime, Drama",135,India,Hindi,"Krishna D.K., Raj Nidimoru","Raj Nidimoru, Krishna D.K.",People Pictures,"Kunal Khemu, Boman Irani, Soha Ali Khan, Cyrus Broacha, Simone Singh, Mahesh Manjrekar, Amit Mistry, Vinod Khanna, Sudesh Berry, Raja Kapse, Rajesh Kumar Singh, Divya Bhatnagar, Pooja Desai, John Doe, Raaj Gopal Iyer",A gangster deputes two of his men to recover money from an out of town compulsive gambler.,7.3,2651,NA,NA,NA,NA,27,8,7.3,99.54134,730,2000 - 2010
31186,tt0120579,99.9,99.9,1997,11/7/1997,"Horror, Mystery, Thriller",106,Spain,Spanish,Agust‡≠ Villaronga,"Lourdes Iglesias, Jes˙s Regueira",Impala,"Mar‡≠a Barranco, Terele P·vez, Ruth Gabriel, ‡Ångel de AndrÈs LÛpez, Gustavo SalmerÛn, Juan M·rquez, SimÛn Andreu, Pedro Mari S·nchez, Miguel Picazo, Maite Brik, Jordi Canals, Paula Soldevila, Francisco Maestre, Alicia Agut, Luisa Gavasa","Lara, the host of a radio call-in show dealing in psychic phenomena, discovers that her estranged lover has been found dead in a small Spanish village. She learns that he was conducting ...",5.5,388,NA,NA,NA,NA,5,5,5.5,78.87781,550,1990 - 2000
84293,tt8458736,100,100,2019,5/9/2019,Action,141,India,Tamil,Sam Anton,Sam Anton,Auraa Cinemas,"Atharvaa Murali, Radha Ravi, Yogi Babu, Hansika Motwani, Saravanan, Cheenu Mohan, Nirosha, Aadukalam Naren, Mahanadhi Shankar, Sivakumar, Mime Gopi, Vijay Kumar Rajendran, Harija, Kadhal Kannan, Vijay Varadharaj","A young cop, who works in a police control room, tries to solve the mysterious case of a kidnapped girl.",6.5,849,NA,NA,"$7,365 ",NA,23,3,6.5,90.86417,650,2010 - 2020
84548,tt8660422,118,118,2019,3/1/2019,"Action, Thriller",120,India,Telugu,K.V. Guhan,"K.V. Guhan, Mirchi Kiran",East Coast Productions,"Nandamuri Kalyan Ram, Nivetha Thomas, Shalini Pandey, Nassar, C.V.L. Narasimha Rao, Hari Teja, Prabhas Sreenu, Harshavardhan, Rajeev Kanakala, Habib Al Aidroos, Bharath Reddy, Mukhtar Khan, Surekha Vani, Viren Thambidorai, Deekshitulu",A recurring nightmare involving the murder of a young woman prompts an investigative journalist on a quest to find out whether there is any truth to the dream.,6.5,614,NA,NA,"$5,122 ",NA,21,3,6.5,87.05027,650,2010 - 2020
54856,tt1166085,120,120,2008,2/15/2008,"Drama, History, War",114,Turkey,Turkish,"‡ñzhan Eren, Murat SaraÁoglu",‡ñzhan Eren,Posta Tanitim Hizmetleri,"‡ñzge ‡ñzberk, Cansel Elcin, Burak Sergen, Yasar Abravaya, Melih Atalay, Ozan Cem Dur, Deniz G¸ngˆren, Melza Burcu Ince, Demir Karahan, Mustafa Karakoyun, Halil Kumova, Emin Olcay, Ibrahim Oner, Incilay Sahin, Misak Toros","During the Sarikamis Battle, the Ottoman army runs out of ammunition and appeals to the people of Van for help, who happen to have supplies. However, the First World War is on and all men ...",7.3,6506,"$3,000,000 ",NA,"$3,757,041 ",NA,4,3,7.3,95.69108,730,2000 - 2010
83341,tt7867670,122,122,2019,1/2/2019,"Horror, Thriller",95,Egypt,Arabic,Yasir Al-Yasiri,Salah El Gehiny,NA,"Ahmed Dawood, Tarek Lotfy, Amina Khalil, Ahmad El-Fishawi, Mahmoud Hijazi, Jihane Khalil, Muhammad Lutfi, Asmaa Galal, Tara Emad, Sabry Abdel Moniem, Mohamed Mamdouh, Farouk Yahia","On a bloody night in a place where we are supposed to feel safe, a young man and his beloved are struggling not to reach the hospital, but to run away from it. They are trying to survive the night.",6.8,3646,NA,NA,"$1,928,719 ",NA,58,5,6.8,97.39615,680,2010 - 2020
77280,tt5273834,144,144,2015,11/27/2015,Comedy,120,India,Tamil,G. Manikandan,NA,Abi & Abi Pictures,"Sonu Gowda, Uday Mahesh, Munishkanth, Oviya, V. Madhusudhan Rao, Jawahar Sakthi, Ashok Selvan, Shiva, S.J. Suryah",A motley crew of characters gets involved in a village feud.,5,120,NA,NA,NA,NA,1,NA,5,71.16384,500,2010 - 2020
62677,tt1855110,180,180,2011,6/25/2011,"Drama, Romance",121,India,"Tamil, Telugu",Jayendra,"Umarji Anuradha, Umarji Anuradha",SPI Cinemas,"Siddharth, Nithya Menen, Priya Anand, Tanikella Bharani, Geetha, Sricharan, Lakshmi Ramakrishnan, M.S. Narayana, Mouli, Misha Ghoshal, Xango Henry, Thomas Martin, John Douglas Ayers, Manager Cheena, Patrick J. Crabb",A young man Ajay (cancer victim) meets two lovely women Renu (wife) and Vidya (journalist) in his life.,6,749,"$4,100,000 ",NA,NA,NA,3,2,6,86.0635,600,2010 - 2020
76359,tt4976192,211 - Rapina in corso,211,2018,6/14/2018,"Action, Crime, Drama",86,"USA, Bulgaria",English,York Alec Shackleton,"York Alec Shackleton, John Rebus",Millennium Films,"Nicolas Cage, Sophie Skelton, Michael Rainey Jr., Dwayne Cameron, Weston Cage Coppola, Cory Hardrict, Ori Pfeffer, Mark Basnight, Amanda Cerny, Michael Bellisario, Raymond Steers, Derek Horse, Fedi Bashur, Nick Donadio, Sean James","While on a routine patrol, an aging cop, his partner and their ride-along get caught in a standoff with a band of former mercenaries robbing a bank.",4.4,6613,NA,NA,"$1,052,222 ",21,204,45,4.4,57.24012,440,2010 - 2020
